1/1/1965,1607.111
1/1/1966,1577.634
1/1/1967,1700.707
1/1/1968,1879.578
1/1/1969,1838.232
1/1/1970,1761.689
1/1/1971,1665.349
1/1/1972,1428.794
1/1/1973,1482.677
1/1/1974,1541.846
1/1/1975,1614.343
1/1/1976,1590.524
1/1/1977,1668.592
1/1/1978,1729.491
1/1/1979,1826.631
1/1/1980,1962.12
1/1/1981,2041.473
1/1/1982,2176.711
1/1/1983,2247.975
1/1/1984,2301.471
1/1/1985,2340.84
1/1/1986,2404.838
1/1/1987,2609.061
1/1/1988,2687.379
1/1/1989,2766.277
1/1/1990,2809.26
1/1/1991,2892.239
1/1/1992,2953.372
1/1/1993,3180.19
1/1/1994,3202.722
1/1/1995,3284.716
1/1/1996,3399.817
1/1/1997,3201.295
1/1/1998,3333.546
1/1/1999,3389.459
1/1/2000,3373.289
1/1/2001,3366.211
1/1/2002,3409.92
1/1/2003,3622.94
1/1/2004,3941.457
1/1/2005,3996.833
1/1/2006,4120.859
1/1/2007,4283.397
1/1/2008,4213.413
1/1/2009,4173.606
1/1/2010,4099.672
1/1/2011,4008.38
1/1/2012,3661.881
1/1/2013,4185.638
1/1/2014,3944.827
1/1/2015,4070.761
1/1/2016,4347.326
1/1/2017,4503.049
1/1/2018,4551.648
1/1/2019,4566.901
